ticker,company,sector,quarter,speaker,role,utterance,word_count
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Moderator,Moderator,"Ladies and gentlemen, good day, and welcome to the Q1 FY '26 Earnings",13
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Ajit Kumar,Analyst,"Thank you, Dorwin. Good evening, everyone. This is Ajit Kumar from JM Financial.",13
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Thank you. Thank you, Ajit. Thank you, JM, for hosting this call. Good evening, all.",15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"So that other number is the net gain on fair value change, where we have INR 79",17
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Adjusted for this, the number is flat on a sequential quarter basis. I thought I'll just",16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Moderator,Moderator,Our first question comes from the line of Viral Shah from IIFL Capital.,13
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Viral Shah,Analyst,"Rajeev, I have 3 questions. But first, to begin with, I would say, it's glad to have you",18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Viral, the only point I would like to make is that every incident must have learnings",16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Viral Shah,Analyst,"Got it, very fair, Rajeev. My second question is more for Sandeep. Sandeep, on the",15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,Yes. I think Viral this question was asked last quarter as well. We have given a,16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Viral Shah,Analyst,"Got it. And secondly, Sandeep, on the, say, growth guidance numbers on the non-",14
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"So I think on the fee income side, we have guided for 13% to 15% for the current",18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Last time I do want to make that, the fee income grew 17%, just to add what Sandeep",18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"And last year's quarter was partially impacted by embargo as well, so to the extent on",16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Viral Shah,Analyst,"Got it. And my last question, Rajeev, is for you. So on the SME portfolio, you",16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Not between unsecured to secured. Anyway, it's a tail effect. The secured gets a tail",15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"And Viral, in the same context, I think it's important that we call out, MSA business",16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Viral Shah,Analyst,"Got it, very clear. Thank you so much. And all the very best.",13
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Moderator,Moderator,Thank you. Our next question comes from the line of Piran Engineer from CLSA.,14
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,"Please go ahead.
Piran Engineer",Analyst,"Congrats on the quarter. Actually, my question was kind of answered you’re here,",13
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,No. The only way to do it is to offer the remediation. That's why as when I talked,18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Piran Engineer,Analyst,"Okay. Okay, sir. Fair enough. And also on the B2C side, earlier we used to share",16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"No, no. It was 5.5 , and it is down to 4.",12
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"This metric is being tracked. The only thing and where we've got -- partially, if I may",17
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Piran Engineer,Analyst,"Okay. Fair enough. And just lastly on growth or just in terms of scale-up, in car",16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Piran Engineer,Analyst,I thought you said the loan book is very small. I just want to get a sense of the,19
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"It can be very big. Piran, the issue is used car and new car put together must make",18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Piran Engineer,Analyst,Got it. Okay. That's it from my end. Thank you and wish you all the best.,16
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Moderator,Moderator,Thank you. We have our next question from the line of Kunal Shah from Citigroup.,15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,"Please go ahead.
Kunal Shah",Analyst,"Yes. Thanks for taking the question. Sorry, again, touching upon the leadership",12
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Yes. As Viral said, what are the learnings is one of the learnings.",13
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Kunal Shah,Analyst,"Okay. But anything with respect to the corporate structuring, maybe it was quite",13
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Kunal Shah,Analyst,No changes in terms of the corporate structure which has been planned or maybe,14
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Kunal Shah,Analyst,"Yes. Sure. And secondly, with respect to MSME, so you indicated maybe that's going",14
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"The overall provisioning coverage has plenty of assets, including the composition of",12
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Kunal Shah,Analyst,"Sir, fair to assume this restructuring is in SME because that's the only SME and",15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Moderator,Moderator,Thank you. Our next question is from the line of Kuntal Shah from Oaklane Capital.,15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,"Please go ahead.
Kuntal Shah",Analyst,"Hi, thanks for taking my call and Rajeev thanks to have you back on the call. So we",18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Yes. So Kuntal, 4.7 million new customer acquisition after last 2 years of record 15",15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Kuntal Shah,Analyst,Partially but common unified super app was what I think makes sense from tech,14
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Okay. So let me make the point, if you're an Apple now, if you go to share market on",19
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Kuntal Shah,Analyst,"So Rajeev, Does it mean you will tie up with more fintech, which are a lot of",17
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Kuntal Shah,Analyst,More profit pools and nothing like that because you have...,10
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Moderator,Moderator,Our next question is from the line of Abhishek M. from HSBC.,12
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Abhishek M.,Analyst,"Good to have you back, Rajeev. So the first one is going back to SME. Can you give",18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"As I said, Abhishek, at this point in time, it will remain slow. I think, as I said, 17",19
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Abhishek Murarka,Analyst,"Okay. How much would be the total unsecured in this book? In the INR 50,000...",15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"The mortgage, sit’s in mortgage and so on and so forth. If you see in the panel, you",18
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Abhishek Murarka,Analyst,"Sir, the other observation I had is that since it is mostly unsecured, typically when",15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,Abhishek that's what I was trying to clarify earlier as well because the number of,15
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Abhishek Murarka,Analyst,"The second question is on -- yes, the second question is on growth. So if I put all the",19
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"I would think about one more quarter, Abhishek, before we give you a very clear",15
